state,datayeardef,legyear,deficitlag1
WV,2013,2014,-225556.4044
WV,2014,2015,-247870.2263
WV,2015,2016,-412518.084
WV,2016,2017,-163099
WI,2002,2003,-639887.2424
WI,2003,2004,961666.336
WI,2004,2005,1174282.252
WI,2005,2006,-668571.0056
WI,2006,2007,-556236.9229
WI,2007,2008,-679498.1146
WI,2008,2009,-115780.3509
WI,2009,2010,1081162.775
WI,2010,2011,32254.59322
WI,2011,2012,-1034830.693
WI,2012,2013,-2203487.428
WI,2013,2014,-2502155.539
WI,2014,2015,-2205831.867
WI,2015,2016,-1326848.927
WI,2016,2017,-1407491
WY,2002,2003,-159279.7203
WY,2003,2004,-692634.3278
WY,2004,2005,-727583.3962
WY,2005,2006,-1565996.875
WY,2006,2007,-1949706.234
WY,2007,2008,-1986106.902
WY,2008,2009,-1297052.357
WY,2009,2010,679569.1628
WY,2010,2011,-1742159.027
WY,2011,2012,-2153364.283
WY,2012,2013,-1093555.554
WY,2013,2014,-1284053.779
WY,2014,2015,-2167715.643
WY,2015,2016,-509338.3896
WY,2016,2017,337641
