,state,statenum,legyear,percent5,Rperc,marginshift,rmarginshift,minwage,standmin,marginshift.10,rmarginshift.10,tax,standtax,standtaxlag1,indtax,taxdrop,labor,gverif,policy,landuse,occ,ocourts2,Frtp,frps,frent,findex,knpindex,kpacs,nlabel,nprice,nunfair,banstate,bancorp,bancorpunion,deepsouth,postcit
1072,NJ,18,1987,NA,NA,NA,NA,3.35,0.963768116,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1073,NJ,18,1988,NA,NA,NA,NA,3.35,0.963768116,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1074,NJ,18,1989,NA,NA,NA,NA,3.35,0.963768116,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1075,NJ,18,1990,20,42.5,0.092418303,0.092418303,3.8,0.898550725,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1076,NJ,18,1991,20,42.5,0.092418303,0.092418303,4.25,0.833333333,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1077,NJ,18,1992,16.875,70,0.115427665,-0.115427665,5.05,0.717391304,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1078,NJ,18,1993,16.875,70,0.115427665,-0.115427665,5.05,0.717391304,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1079,NJ,18,1994,14.375,63.125,0.134565987,-0.134565987,5.05,0.717391304,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1080,NJ,18,1995,14.375,63.125,0.134565987,-0.134565987,5.05,0.717391304,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1081,NJ,18,1996,18.125,61.25,0.113040886,-0.113040886,5.05,0.717391304,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1082,NJ,18,1997,18.125,61.25,0.113040886,-0.113040886,5.15,0.702898551,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1083,NJ,18,1998,8.75,60,0.075333814,-0.075333814,5.15,0.702898551,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1084,NJ,18,1999,8.75,60,0.075333814,-0.075333814,5.15,0.702898551,0.090078708,0.090078708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1085,NJ,18,2000,5,58.125,0.083730404,-0.083730404,5.15,0.702898551,0.090078708,0.090078708,-9,0.25,NA,6.37,0,0.281486514,0,0.219092187,0.167401716,0.125,0.1982774,0,-1.5,-1,1.5,0.5,0,0,0,0,0,0,0,0,0
1086,NJ,18,2001,5,58.125,0.083730404,-0.083730404,5.15,0.702898551,0.090078708,0.090078708,-9,0.25,0.25,6.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1087,NJ,18,2002,13.125,47.5,0.030191847,0.030191847,5.15,0.702898551,0.090078708,0.090078708,-9,0.25,0.25,6.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1088,NJ,18,2003,13.125,47.5,0.030191847,0.030191847,5.15,0.702898551,0.090078708,0.090078708,-9,0.25,0.25,6.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1089,NJ,18,2004,13.125,43.125,0.057529155,0.057529155,5.15,0.702898551,0.090078708,0.090078708,-9,0.25,0.25,8.97,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1090,NJ,18,2005,13.125,43.125,0.057529155,0.057529155,6.15,0.557971014,0.090078708,0.090078708,-9,0.25,0.25,8.97,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
