state,legyear,house,sen,dwnom,dwnomfull
MD,2015,-0.915,-0.836,-0.8755,-0.8755
MD,2016,-0.915,-0.836,-0.8755,-0.8755
MD,2017,-0.915,-0.836,-0.8755,-0.8755
ME,1993,,,,0.062
ME,1994,,,,0.062
ME,1995,,,,0.062
ME,1996,-0.024,0.148,0.062,0.062
ME,1997,-0.322,-0.566,-0.444,-0.444
ME,1998,-0.322,-0.566,-0.444,-0.444
ME,1999,-0.238,-0.566,-0.402,-0.402
ME,2000,-0.238,-0.566,-0.402,-0.402
ME,2001,-0.547,-0.221,-0.384,-0.384
ME,2002,-0.547,-0.566,-0.5565,-0.5565
ME,2003,-0.444,-0.26,-0.352,-0.352
ME,2004,-0.444,-0.26,-0.352,-0.352
ME,2005,-0.266,-0.581,-0.4235,-0.4235
ME,2006,-0.266,-0.581,-0.4235,-0.4235
ME,2007,-0.632,-0.547,-0.5895,-0.5895
ME,2008,-0.652,-0.547,-0.5995,-0.5995
ME,2009,,,,-0.5995
ME,2010,,,,-0.5995
ME,2011,0.337,0.407,0.372,0.372
ME,2012,0.364,0.333,0.3485,0.3485
ME,2013,-0.792,-0.685,-0.7385,-0.7385
ME,2014,-0.792,-0.716,-0.754,-0.754
ME,2015,-0.792,-0.716,-0.754,-0.754
ME,2016,-0.792,-0.716,-0.754,-0.754
ME,2017,-0.792,-0.716,-0.754,-0.754
MI,1993,,,,0.475
MI,1994,,,,0.475
MI,1995,,,,0.475
MI,1996,0.269,0.681,0.475,0.475
MI,1997,-0.598,0.706,0.054,0.054
MI,1998,-0.578,0.61,0.016,0.016
MI,1999,0.399,0.59,0.4945,0.4945
MI,2000,0.388,0.593,0.4905,0.4905
MI,2001,0.447,0.638,0.5425,0.5425
MI,2002,0.447,0.681,0.564,0.564
MI,2003,0.542,0.571,0.5565,0.5565
MI,2004,0.545,0.571,0.558,0.558
MI,2005,0.492,0.571,0.5315,0.5315
MI,2006,0.449,0.571,0.51,0.51
MI,2007,-0.486,0.571,0.0425,0.0425
MI,2008,-0.486,0.571,0.0425,0.0425
MI,2009,,,,0.0425
MI,2010,,,,0.0425
MI,2011,0.694,0.638,0.666,0.666
MI,2012,0.694,0.638,0.666,0.666
MI,2013,0.557,0.638,0.5975,0.5975
MI,2014,0.574,0.638,0.606,0.606
MI,2015,0.574,0.638,0.606,0.606
MI,2016,0.574,0.638,0.606,0.606
MI,2017,0.574,0.638,0.606,0.606
MN,1993,,,,-0.584
MN,1994,,,,-0.584
MN,1995,-0.513,-0.655,-0.584,-0.584
MN,1996,-0.513,-0.655,-0.584,-0.584
MN,1997,-0.53,-0.717,-0.6235,-0.6235
MN,1998,-0.53,-0.717,-0.6235,-0.6235
MN,1999,0.379,-0.732,-0.1765,-0.1765
MN,2000,0.379,-0.732,-0.1765,-0.1765
MN,2001,0.375,-0.663,-0.144,-0.144
MN,2002,0.375,-0.663,-0.144,-0.144
MN,2003,0.602,-0.4,0.101,0.101
MN,2004,0.602,-0.4,0.101,0.101
MN,2005,0.262,-0.478,-0.108,-0.108
MN,2006,0.262,-0.478,-0.108,-0.108
MN,2007,-0.648,-0.669,-0.6585,-0.6585
MN,2008,-0.661,-0.671,-0.666,-0.666
MN,2009,-0.648,,-0.648,-0.648
MN,2010,-0.648,,-0.648,-0.648
MN,2011,0.606,,0.606,0.606
MN,2012,0.606,,0.606,0.606
